"","j...1","j...2","sound","image1","image2","corrAns","main_trials_1.thisTrialN","main_trials_1.thisN","main_trials_1.thisIndex","image_4.started","image_5.started","sound_2.started","key_resp_4.started","key_resp_4.keys","key_resp_4.rt","participant","gender","age","date","expName","psychopyVersion","frameRate","rep"
"1",1,1,"sound/pal_peak_step3.wav","image1/pal_foot.png","image2/pal_shade.png",1,0,0,12,135.2069907,135.2069907,135.5384612,135.537023,"k",2.955527916,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"2",1,1,"sound/tam_filler.wav","image1/tam_filler.png","image2/pam_H_filler.png",2,1,1,56,138.6790405,138.6790405,139.0219686,139.0203008,"d",2.474247709,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"3",1,1,"sound/pal_shape_step2.wav","image1/pal_foot.png","image2/pal_shade.png",1,2,2,26,141.6541854,141.6541854,142.0204549,142.0218262,"d",2.850564042,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"4",1,1,"sound/kam_filler.wav","image1/kam_filler.png","image2/kan_LH_filler.png",2,3,3,47,145.0530196,145.0530196,145.4036574,145.4038652,"d",2.885422083,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"5",1,1,"sound/pal_peak_step2.wav","image1/pal_foot.png","image2/pal_shade.png",1,4,4,11,148.4616545,148.4616545,148.8203413,148.8218651,"k",2.898430125,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"6",1,1,"sound/pal_shape_step5.wav","image1/pal_foot.png","image2/pal_shade.png",1,5,5,29,151.8646213,151.8646213,152.2204718,152.2204994,"d",2.913701458,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"7",1,1,"sound/pal_shape_step4.wav","image1/pal_foot.png","image2/pal_shade.png",1,6,6,28,155.2852834,155.2852834,155.6369646,155.6370761,"d",2.971933625,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"8",1,1,"sound/pang_filler.wav","image1/pang_filler.png","image2/pam_H_filler.png",2,7,7,50,158.7724404,158.7724404,159.1373345,159.138506,"d",2.923467833,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"9",1,1,"sound/nam_filler.wav","image1/nam_filler.png","image2/tam_filler.png",1,8,8,45,162.2359659,162.2359659,162.5718514,162.5701869,"d",2.922687083,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"10",1,1,"sound/pal_H_filler.wav","image1/pal_H_filler.png","image2/khal_filler.png",1,9,9,40,165.6526872,165.6526872,166.0204383,166.0220198,"d",2.928797458,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"11",1,1,"sound/pam_shape_step1.wav","image1/pam_night.png","image2/pam_chestnut.png",1,10,10,20,169.1226573,169.1226573,169.4704028,169.4705898,"d",3.181152084,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"12",1,1,"sound/pam_LH_filler.wav","image1/pam_LH_filler.png","image2/pang_filler.png",1,11,11,33,172.8143345,172.8143345,173.1550384,173.1536808,"d",3.393947417,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"13",1,1,"sound/nan_filler.wav","image1/nan_filler.png","image2/kan_H_filler.png",2,12,12,54,176.7534771,176.7534771,177.0537895,177.055653,"d",2.9557685,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"14",1,1,"sound/kan_shape_step2.wav","image1/kan_taste.png","image2/kan_liver.png",1,13,13,16,180.206231,180.206231,180.521895,180.5221355,"d",2.97013575,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"15",1,1,"sound/pam_shape_step5.wav","image1/pam_night.png","image2/pam_chestnut.png",1,14,14,24,183.6736481,183.6736481,184.0205187,184.0205884,"d",3.004648875,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"16",1,1,"sound/khal_filler.wav","image1/khal_filler.png","image2/tal_filler.png",1,15,15,73,187.2292686,187.2292686,187.5553507,187.555411,"d",2.586701625,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"17",1,1,"sound/khal_filler.wav","image1/khal_filler.png","image2/pal_LH_filler.png",2,16,16,57,190.3034212,190.3034212,190.6708074,190.671862,"d",2.460199375,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"18",1,1,"sound/tam_filler.wav","image1/tam_filler.png","image2/nam_filler.png",1,17,17,62,193.3017123,193.3017123,193.6390263,193.6372557,"d",2.536783333,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"19",1,1,"sound/kan_H_filler.wav","image1/kan_H_filler.png","image2/tan_filler.png",1,18,18,36,196.383745,196.383745,196.7054138,196.7055597,"d",2.674453833,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"20",1,1,"sound/kang_filler.wav","image1/kang_filler.png","image2/kan_H_filler.png",2,19,19,48,199.587314,199.587314,199.8873329,199.88876,"d",2.675181666,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"21",1,1,"sound/pam_shape_step4.wav","image1/pam_night.png","image2/pam_chestnut.png",1,20,20,23,202.7422533,202.7422533,203.072157,203.070505,"d",3.7839875,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"22",1,1,"sound/pal_LH_filler.wav","image1/pal_LH_filler.png","image2/pang_filler.png",1,21,21,35,207.0012564,207.0012564,207.3705901,207.3721101,"d",3.218391041,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"23",1,1,"sound/kam_filler.wav","image1/kam_filler.png","image2/kang_filler.png",1,22,22,69,210.7711037,210.7711037,211.1054679,211.1039718,"d",3.014442084,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"24",1,1,"sound/pam_H_filler.wav","image1/pam_H_filler.png","image2/pan_filler.png",1,23,23,32,214.2855287,214.2855287,214.6220379,214.6206263,"d",3.390630583,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"25",1,1,"sound/tal_filler.wav","image1/tal_filler.png","image2/pal_LH_filler.png",1,24,24,74,218.2144653,218.2144653,218.5208583,218.5223663,"d",2.95481075,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"26",1,1,"sound/khal_filler.wav","image1/khal_filler.png","image2/tal_filler.png",1,25,25,63,221.6739155,221.6739155,221.9889261,221.9889576,"d",2.683025833,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"27",1,1,"sound/pam_peak_step2.wav","image1/pam_night.png","image2/pam_chestnut.png",1,26,26,6,224.8586299,224.8586299,225.1888064,225.1875203,"k",2.963556709,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"28",1,1,"sound/pam_shape_step2.wav","image1/pam_night.png","image2/pam_chestnut.png",1,27,27,21,228.3138148,228.3138148,228.6556035,228.6539993,"d",3.066999667,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"29",1,1,"sound/tam_filler.wav","image1/tam_filler.png","image2/nam_filler.png",1,28,28,72,231.9056189,231.9056189,232.2388801,232.2371284,"d",3.32171125,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"30",1,1,"sound/pal_H_filler.wav","image1/pal_H_filler.png","image2/pan_filler.png",1,29,29,34,235.7313117,235.7313117,236.0722845,236.0706924,"d",2.970041583,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"31",1,1,"sound/tan_filler.wav","image1/tan_filler.png","image2/nan_filler.png",1,30,30,61,239.24044,239.24044,239.555556,239.555564,"d",2.933926708,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"32",1,1,"sound/kan_peak_step3.wav","image1/kan_taste.png","image2/kan_liver.png",1,31,31,2,242.6978669,242.6978669,243.0046291,243.0061382,"k",3.24138425,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"33",1,1,"sound/pal_peak_step4.wav","image1/pal_foot.png","image2/pal_shade.png",1,32,32,13,246.4121252,246.4121252,246.7711673,246.7727738,"k",3.019514416,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"34",1,1,"sound/pal_shape_step1.wav","image1/pal_foot.png","image2/pal_shade.png",1,33,33,25,249.9538675,249.9538675,250.3209118,250.3224716,"d",3.048803375,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"35",1,1,"sound/pam_peak_step4.wav","image1/pam_night.png","image2/pam_chestnut.png",1,34,34,8,253.5585271,253.5585271,253.9039702,253.9045786,"k",3.031631916,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
"36",1,1,"sound/pan_filler.wav","image1/pan_filler.png","image2/pang_filler.png",1,35,35,65,257.097098,257.097098,257.4393234,257.4377422,"d",2.961439167,"NF01","Female",22,"2023-02-08_11h34.35.902","id","2022.2.3","None",1
