item1,item,factor,step,image1,image2,corrAns,main_trials_1.thisTrialN,main_trials_1.thisN,main_trials_1.thisIndex,image_4.started,image_5.started,sound_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,gender,age,date,expName,psychopyVersion,frameRate,rep,tone
sound,kan,peak,4,image1/kan_taste.png,image2/kan_liver.png,1,7,7,3,160.6166652,160.6166652,160.9410409,160.9407925,k,2.707036792,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pam,peak,1,image1/pam_night.png,image2/pam_chestnut.png,1,9,9,5,167.5948656,167.5948656,167.9248607,167.9249102,k,2.656712625,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,peak,3,image1/pal_foot.png,image2/pal_shade.png,1,12,12,12,177.7451996,177.7451996,178.0915294,178.0914738,k,3.012830542,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pam,peak,5,image1/pam_night.png,image2/pam_chestnut.png,1,18,18,9,201.2447662,201.2447662,201.5916709,201.5916685,k,3.029969,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,kan,peak,3,image1/kan_taste.png,image2/kan_liver.png,1,19,19,2,204.8150565,204.8150565,205.1416129,205.1417476,k,2.811845624,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,peak,4,image1/pal_foot.png,image2/pal_shade.png,1,23,23,13,218.5358676,218.5358676,218.8910996,218.8918244,k,3.202196667,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pam,peak,4,image1/pam_night.png,image2/pam_chestnut.png,1,45,45,8,301.1928945,301.1928945,301.5415541,301.5422222,k,2.741891792,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,kan,peak,2,image1/kan_taste.png,image2/kan_liver.png,1,47,47,1,307.6207488,307.6207488,307.9589532,307.9588611,k,2.431010708,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pam,peak,3,image1/pam_night.png,image2/pam_chestnut.png,1,48,48,7,310.5594029,310.5594029,310.9087585,310.9089399,k,2.577794875,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,peak,1,image1/pal_foot.png,image2/pal_shade.png,1,50,50,10,317.0502456,317.0502456,317.4087908,317.4087728,k,3.04488175,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pam,peak,2,image1/pam_night.png,image2/pam_chestnut.png,1,57,57,6,341.5772059,341.5772059,341.9087432,341.9089379,k,2.558086416,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,kan,peak,5,image1/kan_taste.png,image2/kan_liver.png,1,62,62,4,357.9480513,357.9480513,358.2748915,358.275103,k,2.472434416,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,kan,peak,1,image1/kan_taste.png,image2/kan_liver.png,1,67,67,0,373.7301401,373.7301401,374.0589706,374.0589604,k,2.765042583,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,peak,2,image1/pal_foot.png,image2/pal_shade.png,1,69,69,11,380.0513753,380.0513753,380.4085832,380.4092664,k,2.466657583,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,peak,5,image1/pal_foot.png,image2/pal_shade.png,1,72,72,14,389.4279563,389.4279563,389.7924765,389.7925487,k,2.960206291,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,peak,4,image1/pal_foot.png,image2/pal_shade.png,1,3,3,13,439.1517012,439.1517012,439.4926751,439.4927713,d,2.702147541,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,2,1
