item1,item,factor,step,image1,image2,corrAns,main_trials_1.thisTrialN,main_trials_1.thisN,main_trials_1.thisIndex,image_4.started,image_5.started,sound_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,participant,gender,age,date,expName,psychopyVersion,frameRate,rep,tone
sound,pal,shape,5,image1/pal_foot.png,image2/pal_shade.png,1,21,21,29,211.5607268,211.5607268,211.9245894,211.9247908,d,2.942565666,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,pam,shape,4,image1/pam_night.png,image2/pam_chestnut.png,1,24,24,23,222.2802029,222.2802029,222.6246088,222.6251254,d,3.005846166,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,pam,shape,1,image1/pam_night.png,image2/pam_chestnut.png,1,28,28,20,236.4773022,236.4773022,236.8250138,236.8250378,k,5.284104791,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,shape,1,image1/pal_foot.png,image2/pal_shade.png,1,29,29,25,242.2821707,242.2821707,242.6418202,242.6417745,k,2.879369125,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,shape,3,image1/pal_foot.png,image2/pal_shade.png,1,34,34,27,260.2286253,260.2286253,260.5751302,260.575195,d,3.145459416,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,kan,shape,5,image1/kan_taste.png,image2/kan_liver.png,1,35,35,19,263.9102557,263.9102557,264.2415491,264.242062,d,2.861557124,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,kan,shape,4,image1/kan_taste.png,image2/kan_liver.png,1,41,41,18,284.5797918,284.5797918,284.9081185,284.9084593,d,4.702360125,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,kan,shape,3,image1/kan_taste.png,image2/kan_liver.png,1,43,43,17,293.4288452,293.4288452,293.7420402,293.7421518,k,3.828050499,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,kan,shape,2,image1/kan_taste.png,image2/kan_liver.png,1,46,46,16,304.4816448,304.4816448,304.8082322,304.8081658,k,2.620850875,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,shape,2,image1/pal_foot.png,image2/pal_shade.png,1,56,56,26,338.3170185,338.3170185,338.6756015,338.6755346,k,2.732544958,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pam,shape,2,image1/pam_night.png,image2/pam_chestnut.png,1,58,58,21,344.635639,344.635639,344.9923577,344.9924452,k,2.346394792,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,kan,shape,1,image1/kan_taste.png,image2/kan_liver.png,1,59,59,15,347.5315546,347.5315546,347.8578673,347.8581237,k,2.532688833,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,0
sound,pal,shape,4,image1/pal_foot.png,image2/pal_shade.png,1,60,60,28,350.5463438,350.5463438,350.9090397,350.9090226,d,2.97665725,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,pam,shape,3,image1/pam_night.png,image2/pam_chestnut.png,1,61,61,22,354.0595744,354.0595744,354.3923552,354.3923458,d,3.360368458,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,pam,shape,5,image1/pam_night.png,image2/pam_chestnut.png,1,70,70,24,383.0462546,383.0462546,383.3757287,383.3757673,d,2.583939041,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,1,1
sound,pam,shape,1,image1/pam_night.png,image2/pam_chestnut.png,1,2,2,20,435.7302782,435.7302782,436.0760718,436.0760806,k,2.905098875,F02,Female,25,2023-02-07_14h42.36.892,id,2022.2.3,59.94890867,2,0
